text,label_text
"Appellant was convicted in the county court of Shelby County for negligent homicide in the second degree, with punishment assessed at a fine of $150.","Rule/Law/Holding, Issue, Issue, Rule/Law/Holding"
"Appellant was present at the commission of the offense in the sense that “present” is used in Article 66 and 69, V.A.P.C., and we find the evidence sufficient to sustain the conviction.","Analysis, Rule/Law/Holding, Conclusion, Fact"
"Art. 602-A is identical to Art. 602, except that Art. 602-A makes a subsequent offense a felony, so the question here presented is whether the caption of Senate Bill 47, as passed by the Regular Session of the 56th Legislature, was sufficiently broad to authorize the enactment hereinabove summarized.","Rule/Law/Holding, Rule/Law/Holding, Issue, Issue"
Attention is directed to the holdings of this Court in Angle v.,"Fact, Invalid sentence, Invalid sentence, Fact"
"Bill of exception No. 5, which was approved by the court, complains of the following argument:","Issue, Invalid sentence, Fact, Analysis"
"But, a search of the record fails to reveal anything authorizing a review of such contentions.","Analysis, Analysis, Fact, Fact"
"By this unsworn statement, the prosecutor got before the jury evidence which was outside the record and extremely harmful to accused.","Analysis, Analysis, Fact, Fact"
"E. Darland, whose wife and baby were the other occupants of the car.","Fact, Fact, Invalid sentence, Invalid sentence"
"He entered into such appearance bond with Toby Goldsmith and Phil Becker as sureties, conditioned that Daniels make his personal appearance instanter before Criminal District Court of","Fact, Invalid sentence, Invalid sentence, Fact"
"If not, the conviction must be reversed for insufficient evidence.","Rule/Law/Holding, Issue, Fact, Invalid sentence"
"In addition to being admissible to show lascivious intent, the two exhibits were admissible as part of the res gestae.","Analysis, Fact, Analysis, Fact"
"In the absence of a statement of facts, nothing is presented for review.","Analysis, Analysis, Fact, Fact"
"In the absence of objection to the admission of such evidence, there is nothing before us in this regard.","Analysis, Analysis, Fact, Fact"
"In view of our disposition of this case, a recitation of the facts will not be deemed necessary other than to observe that there is no evidence in the record that appellant had ever before been convicted of any offense.","Analysis, Other, Fact, Rule/Law/Holding"
It is to be noted that all this testimony was read into the record without objection.,"Analysis, Fact, Fact, Analysis"
"O’Sullivan v. Brown, 171 Fed. 2d 199, cited by appellant, may be distinguished by the fact that to enter the premises there in question one of the general public must arrange for a pass from the building manager or the Army personnel in charge, and once inside the grounds, the visitor is under military escort.","Analysis, Fact, Analysis, Fact"
ON MOTION FOR REHEARING,"Fact, Other, Other, Fact"
"R. 480, 68 S.W. 2d 1044, the collision occurred on a highway which was under construction, gates having been built across it.","Fact, Invalid sentence, Invalid sentence, Fact"
"The above contention is not presented by a formal bill of exception or by a separate statement of facts as required by Art. 760e and 759a (6), V.A.C.C.P.","Fact, Rule/Law/Holding, Rule/Law/Holding, Fact"
The caption of the act that appellant complains of reads as follows:,"Fact, Invalid sentence, Other, Conclusion"
The caption of the amendatory act restricted the purpose of the bill to a change in the definition of the offense.,"Analysis, Rule/Law/Holding, Fact, Issue"
The court found appellant guilty and punishment was assessed at confinement in the county jail for a period of six months.,"Rule/Law/Holding, Issue, Fact, Conclusion"
"The evidence does not reflect the wet or dry status of Kilgore, and, at best, is conflicting as to appellant’s own testimony as to whether the consumption was to be by him or by his employees.","Fact, Analysis, Conclusion, Rule/Law/Holding"
The facts stated are sufficient to show probable cause for the search of the automobile.,"Analysis, Analysis, Conclusion, Conclusion"
The following facts are undisputed:,"Fact, Invalid sentence, Other, Rule/Law/Holding"
"The information in the instant case charged two different ways under the statute that appellant committed the offense, namely by inviting the minor to go to the place where intoxicating liquors were sold and by causing him to drink intoxicating liquor.","Fact, Rule/Law/Holding, Analysis, Other"
"The jury resolved the issue against appellant, and the evidence is sufficient to sustain the verdict.","Conclusion, Conclusion, Fact, Fact"
The objections to the charge are that it shifts the burden of proof to the appellant; that it fails to charge the law of reason,"Issue, Invalid sentence, Analysis, Fact"
"The offense is driving while intoxicated: the punishment, 3 days in jail and a fine of $50.00.","Rule/Law/Holding, Issue, Issue, Rule/Law/Holding"
The principal was charged by complaint in the justice court with robbery and required to give bond in the sum of $2500 for his appearance in the Criminal District Court of Tarrant County.,"Rule/Law/Holding, Fact, Issue, Analysis"
The purpose of argument is to assist the jury in properly analyzing the evidence and arriving at a verdict based on the evidence alone.,"Analysis, Other, Fact, Conclusion"
"The testimony shows that the wine was placed in the custody of the district attorney at the courthouse and properly labeled at the time, by written identification on the cases, and that the bottles were those found at the scene.","Fact, Fact, Analysis, Analysis"
There is no showing that anyone other than the officers ever had the wine in custody.,"Fact, Fact, Analysis, Analysis"
"To raise the issue that the appellant as surety did not sign the bond, the answer must contain an affirmative verified plea of non est factum.","Fact, Rule/Law/Holding, Issue, Conclusion"
"Under the record, we find no error in admitting such testimony.","Analysis, Analysis, Conclusion, Conclusion"
We have been furnished with a certificate from the Texas Prison System showing that relator has served both sentences unless the cumulation be held effective.,"Analysis, Analysis, Fact, Fact"
We shall not separately discuss the remaining bills of exception.,"Analysis, Other, Fact, Issue"
We think the chain of custody of the wine in question was,"Analysis, Invalid sentence, Invalid sentence, Analysis"
With such contention we do not agree.,"Conclusion, Analysis, Conclusion, Analysis"
